roll|name|faction_id|faction_name|legend|type|description|id|,,,,,,,,,,,,
1|BLASTING GALE|SM|Space Marines|The Stormseer calls up a screaming windstorm to assail the foe. It is all his victims can do to stand their ground without being torn from their feet," let alone press forwards into battle.|Stormspeaking Discipline|<b>Malediction:</b> Blasting Gale has a warp charge value of 7. If <a href=""/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers"">manifested</a>"," select one enemy unit within 18"" of and visible to this psyker. Until the start of your next <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">Psychic phase</a>"," that unit cannot <a href=""/wh40k9ed/the-rules/core-rules/#Advance"">Advance</a>"," and when a <a href=""/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit"">charge roll</a> is made for it", roll one fewer D6, to a minimum of one D6 (typically, this will mean one D6 is rolled instead of 2D6).|000003612002|,,,,,
2|LIGHTNING CALL|SM|Space Marines|Raising his arms to the roiling storm-clouds overhead," the Stormseer calls down lightning strikes upon his foes.|Stormspeaking Discipline|<b>Witchfire:</b> Lightning Call has a warp charge value of 7. If <a href=""/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers"">manifested</a>"," the closest enemy unit within 18"" of this psyker suffers D3 <a href=""/wh40k9ed/the-rules/core-rules/#Mortal-Wounds"">mortal wounds</a>. If that unit is not destroyed", roll one D6; on a 4+ that unit suffers 1 mortal wound. Then, if that unit is still not destroyed, roll one D6; on a 5+ that unit suffers 1 mortal wound. Then, if that unit is still not destroyed, roll one D6; on a 6 that unit suffers 1 mortal wound.|000003612003|,,,,,
3|RIDE THE WINDS|SM|Space Marines|Invoking the power of the winds with a gravelly-voiced chant," the Stormseer sends rushing currents of invisible energy to speed his comrades into battle.|Stormspeaking Discipline|<b>Blessing:</b> Ride the Winds has a warp charge value of 6. If <a href=""/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers"">manifested</a>"," select one friendly <span class=""kwb"">WHITE</span> <span class=""kwb"">SCARS</span> unit within 12"" of this psyker. Until the start of your next <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">Psychic phase</a>"," when an <a href=""/wh40k9ed/the-rules/core-rules/#Advance"">Advance roll</a> or <a href=""/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit"">charge roll</a> is made for that unit", add 2 to the result.|000003612004|,,,,,,,,
"4|STORM-WREATHED|SM|Space Marines|At the Stormseer’s behest the roiling clouds funnel into a furious vortex that swirls down to surround his advancing brothers. Lightning crackles around the White Scars and leaps from their bodies to strike down the foe.|Stormspeaking Discipline|<b>Blessing:</b> Storm-wreathed has a warp charge value of 6. If <a href=""/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers"">manifested</a>"," select one friendly <span class=""kwb"">WHITE</span> <span class=""kwb"">SCARS</span> unit within 12"" of this psyker. Until the start of your next <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">Psychic phase</a>"," enemy units cannot fire <a href=""/wh40k9ed/the-rules/core-rules/#Overwatch"">Overwatch</a> at that unit"," and after that unit finishes a <a href=""/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit"">charge move</a>", for each model in that unit," you can select one enemy unit within 1"" of that model and roll one D6; on a 6"," that enemy unit suffers 1 <a href=""/wh40k9ed/the-rules/core-rules/#Mortal-Wounds"">mortal wound</a>.|000003612005|",,,,,,
5|SPIRITS OF CHOGORIS|SM|Space Marines|Many and terrible are the spirits and ghouls of Chogorian tribal folklore," and it is warpwrought simulacra of these ancient terrors that the Stormseer now unleashes on the foe.|Stormspeaking Discipline|<b>Malediction:</b> Spirits of Chogoris has a warp charge value of 6. If <a href=""/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers"">manifested</a>"," select one enemy unit within 18"" of and visible to this psyker. Until the start of your next <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">Psychic phase</a>", subtract 1 from the Leadership characteristic of models in that unit, and when resolving an attack made by a model in that unit," subtract 1 from the <a href=""/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll"">hit roll</a>.|000003612006|",,,,,,,
6|EYE OF THE STORM|SM|Space Marines|Summoning a hurricane, the Stormseer becomes the heart of a screaming cyclone. Wherever he strides," the enemy are plucked from their feet and dashed to ruin by its elemental fury.|Stormspeaking Discipline|<b>Witchfire:</b> Eye of the Storm has a warp charge value of 6. If <a href=""/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers"">manifested</a>"," roll one D6 for each enemy unit within 12"" of this psyker"," adding 1 to the result if that unit can <a href=""/wh40k9ed/the-rules/core-rules/#Flying""><span class=""kwb"">FLY</span></a>; on a 4+ that unit suffers 1 <a href=""/wh40k9ed/the-rules/core-rules/#Mortal-Wounds"">mortal wound</a>.|000003612007|",,,,,,,,
1|UMBRAL FORM|SM|Space Marines|The psyker summons a veil of darkness," slipping into its folds to evade the fury and firepower of the foe.|Umbramancy Discipline|<b>Blessing:</b> Umbral Form has a warp charge value of 5. If <a href=""/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers"">manifested</a>"," until the start of your next <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">Psychic phase</a> this psyker has a 4+ <a href=""/wh40k9ed/the-rules/core-rules/#Invulnerable-Saves"">invulnerable save</a>.|000003660002|",,,,,,,,,,
2|ENVELOPING DARKNESS|SM|Space Marines|At the psyker’s command, the shadows cast by his enemies rise up and engulf them like a dense flock of ravens," leaving them disorientated and vulnerable to attack.|Umbramancy Discipline|<b>Malediction:</b> Enveloping Darkness has a warp charge value of 7. If <a href=""/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers"">manifested</a>"," select one enemy unit within 18"" of and visible to this <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">psyker</a>. Until the start of your next <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">Psychic phase</a>"," that unit cannot fire <a href=""/wh40k9ed/the-rules/core-rules/#Overwatch"">Overwatch</a>", and when resolving an attack made by that unit," subtract 1 from the <a href=""/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll"">hit roll</a>.|000003660003|",,,,,,
3|SPECTRAL BLADE|SM|Space Marines|The psyker implants his foe with the psychosomatic suggestion that his weapon is irresistibly sharp," striking them down with the psychic feedback of their own warped perceptions.|Umbramancy Discipline|<b>Blessing:</b> Spectral Blade has a warp charge value of 5. If <a href=""/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers"">manifested</a>"," until the start of your next <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">Psychic phase</a> this <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">psyker</a>’s Strength characteristic is equal to their Leadership characteristic. In addition", until the start of your next Psychic phase, when resolving an attack made with a melee weapon by this psyker against a unit whose highest Leadership characteristic is lower than this psyker’s, that weapon has an Armour Penetration characteristic of -4 for that attack.|000003660004|,,,,,,,
"4|SHADOWSTEP|SM|Space Marines|The gloom of the battlefield coalesces into a dark passageway that allows those who use it to stalk amongst shadows and re-emerge where the foe least expects them.|Umbramancy Discipline|<b>Blessing:</b> Shadowstep has a warp charge value of 7. If <a href=""/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers"">manifested</a>"," select one <span class=""tooltip00911"" data-tooltip-content=""#tooltip_content00911"" data-tooltip-anchor=""#tooltip_content00911""><span class=""kwb"">RAVEN</span> <span class=""kwb"">GUARD</span> <span class=""kwb"">CHARACTER</span></span> unit from your army within 18"" of this <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">psyker</a>. Remove that unit from the battlefield and set it up anywhere on the battlefield that is more than 9"" from any enemy models.|000003660005|",,,,,,,,,,,
