game|faction_type|faction_id|faction_name|category|name|type|legend|description|,,,,,,,,,,,,,,,,,,,,,,,,
War Zone Nachmund: Grand Tournament||||No Mercy, No Respite|NO PRISONERS|End Game Objective|Exterminate the enemy. Show them no mercy.|If you select this objective, keep a Kill Points tally. Each time an enemy model is destroyed," unless that model is a <span class=""kwb"">VEHICLE</span>"," <span class=""kwb"">MONSTER</span> or <a href=""/wh40k9ed/the-rules/core-rules/#Characters""><span class=""kwb"">CHARACTER</span></a> unit", add a number of marks to this tally equal to the Wounds characteristic of the destroyed model. A model can, if it is resurrected for any reason (i.e. it was destroyed and subsequently returned to the battlefield), potentially have marks added to this tally several times (assuming it is resurrected and subsequently destroyed several times over).<br><br>At the end of the battle, divide your Kill Points tally by 10 and round down - the result is the number of victory points you score. In addition, if your Kill Points tally is between 50 and 99, you score 1 additional victory point, and if your Kill Points tally is 100 or more, you score 2 additional victory points.|,,,,,,,,,,,,
War Zone Nachmund: Grand Tournament||||No Mercy, No Respite|GRIND THEM DOWN|Progressive Objective|Some battles can only be won through bloody attrition.|Score 3 victory points at the end of the battle round if more enemy units than friendly units were destroyed this battle round.|,,,,,,,,,,,,,,,,,,,,,,,
War Zone Nachmund: Grand Tournament||||No Mercy, No Respite|TO THE LAST|End Game Objective|While our mightiest warriors stand, we will prevail.|If you select this objective, then before the battle, after you have selected deployment zones," identify which three units from your army (excluding those with the Fortifications <a href=""/wh40k9ed/the-rules/core-rules/#Battlefield-Role"">Battlefield Role</a>) have the highest <a href=""/wh40k9ed/the-rules/core-rules/#Points-Values"">points value</a>"," and make a note of them on your <a href=""/wh40k9ed/the-rules/core-rules/#Battle-forged-Army-Roster"">army roster</a> (if two or more are tied", you choose between them). If your army has three or fewer units, you instead identify all the units in your army. A unit's points value includes the points of all weapons, other wargear and upgrades it is has. You score 5 victory points for each of these units that are on the battlefield at the end of the battle. If a unit splits into several smaller units during a battle," all of those separate units (excluding <a href=""/wh40k9ed/factions/t-au-empire/#Drones""><span class=""kwb"">DRONE</span></a> units) must be on the battlefield at the end of the battle to score 5 victory points; if some of those separate units (excluding <span class=""kwb"">DRONE</span> units) are on the battlefield at the end of the battle", but not all of them are, you score 3 victory points instead of 5.|,,,,,,,,,,,,
"War Zone Nachmund: Grand Tournament||||Warpcraft|PIERCE THE VEIL|End Game Objective|Your psykers must attempt to use their warp-gifted sight to scry that which cannot be seen by conventional methods.|Score 8 victory points at the end of the battle if one or more units from your army successfully completed the following <a href=""/wh40k9ed/the-rules/core-rules/#Performing-Psychic-Actions"">psychic action</a> 2 or more times during the battle"," or 15 victory points at the end of the battle if one or more units from your army successfully completed the following psychic action 4 times during the battle (note that you can only score this objective once):<br><br><b>Pierce the Veil (Psychic Action - Warp Charge 4):</b> One <span class=""kwb"">PSYKER</span> <span class=""kwb"">CHARACTER</span> unit from your army can attempt to <a href=""/wh40k9ed/the-rules/core-rules/#Performing-Psychic-Actions"">perform this psychic action</a> during your <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">Psychic phase</a> if it is within 6"" of your opponent’s battlefield edge and more than 6"" from any enemy models.|",,,,,,,,,,,,,,,,,,,,,,,
"War Zone Nachmund: Grand Tournament||||Warpcraft|PSYCHIC INTERROGATION|Progressive Objective|Your psykers must use their mental powers to delve into the minds of the enemy leaders and discover their battle plans.|Score 3 victory points each time you successfully complete the following <a href=""/wh40k9ed/the-rules/core-rules/#Performing-Psychic-Actions"">psychic action</a>:<br><br><b>Psychic Interrogation (Psychic Action - Warp Charge 4):</b> One <span class=""kwb"">PSYKER</span> <span class=""kwb"">CHARACTER</span> unit from your army can attempt to perform this psychic action in your <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">Psychic phase</a> if it is within 24"" of any enemy <a href=""/wh40k9ed/the-rules/core-rules/#Characters""><span class=""kwb"">CHARACTER</span></a> units.|",,,,,,,,,,,,,,,,,,,,,,,,
"War Zone Nachmund: Grand Tournament||||Warpcraft|ABHOR THE WITCH|End Game Objective|The presence of enemy psykers in this theatre of war can no longer be tolerated - hunt them down.|You cannot select this secondary objective if your army includes any <span class=""kwb"">PSYKER</span> units. Score 3 victory points at the end of the battle for each enemy <span class=""kwb"">PSYKER</span> <span class=""kwb"">CHARACTER</span> unit that is destroyed"," and 2 victory points for every other enemy <span class=""kwb"">PSYKER</span> unit that is destroyed.|",,,,,,,,,,,,,,,,,,,,,,,
War Zone Nachmund: Grand Tournament||||Warpcraft|WARP RITUAL|End Game Objective|Completion of a complex ritual will allow your psykers to fully harness the power of the warp.|If you select this objective," keep a tally of Ritual points; add 1 to that tally each time a unit from your army successfully completes the following <a href=""/wh40k9ed/the-rules/core-rules/#Performing-Psychic-Actions"">psychic action</a> during the battle:<br><br><b>Warp Ritual (Psychic Action - Warp Charge 3):</b> One <span class=""kwb"">PSYKER</span> <span class=""kwb"">CHARACTER</span> unit from your army can attempt to <a href=""/wh40k9ed/the-rules/core-rules/#Performing-Psychic-Actions"">perform this psychic action</a> in your <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">Psychic phase</a> if it is within 6"" of the centre of the battlefield.<br><br>At the end of the battle", score 3 victory points if your Ritual tally is 1, score 7 victory points if your tally is 2, or score 12 victory points if your tally is 3 or more.|,,,,,,,,,,,,,,,,,,,,
"War Zone Nachmund: Grand Tournament||||Warpcraft|PIERCE THE VEIL|End Game Objective|Your psykers must attempt to use their warp-gifted sight to scry that which cannot be seen by conventional methods.|Score 8 victory points at the end of the battle if one or more units from your army successfully completed the following <a href=""/wh40k9ed/the-rules/core-rules/#Performing-Psychic-Actions"">psychic action</a> 2 or more times during the battle"," or 15 victory points at the end of the battle if one or more units from your army successfully completed the following psychic action 4 times during the battle (note that you can only score this objective once):<br><br><b>Pierce the Veil (Psychic Action - Warp Charge 4):</b> One <span class=""kwb"">PSYKER</span> <span class=""kwb"">CHARACTER</span> unit from your army can attempt to <a href=""/wh40k9ed/the-rules/core-rules/#Performing-Psychic-Actions"">perform this psychic action</a> during your <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">Psychic phase</a> if it is within 6"" of your opponent’s battlefield edge and more than 6"" from any enemy models.|",,,,,,,,,,,,,,,,,,,,,,,
"War Zone Nachmund: Grand Tournament||||Warpcraft|PSYCHIC INTERROGATION|Progressive Objective|Your psykers must use their mental powers to delve into the minds of the enemy leaders and discover their battle plans.|Score 3 victory points each time you successfully complete the following <a href=""/wh40k9ed/the-rules/core-rules/#Performing-Psychic-Actions"">psychic action</a>:<br><br><b>Psychic Interrogation (Psychic Action - Warp Charge 4):</b> One <span class=""kwb"">PSYKER</span> <span class=""kwb"">CHARACTER</span> unit from your army can attempt to perform this psychic action in your <a href=""/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"">Psychic phase</a> if it is within 24"" of any enemy <a href=""/wh40k9ed/the-rules/core-rules/#Characters""><span class=""kwb"">CHARACTER</span></a> units.|",,,,,,,,,,,,,,,,,,,,,,,,
War Zone Nachmund: Grand Tournament||||Shadow Operations|RAISE THE BANNERS HIGH|Progressive and End Game Objective|Claim the battlefield and display your colours high so that the enemy is in no doubt as to their defeat.|If you select this objective," then units in your army can perform the following <a href=""/wh40k9ed/the-rules/core-rules/#Actions"">action</a>:<br><br><b>Raise Banners (Action):</b> One or more <span class=""kwb"">INFANTRY</span> units from your army can start to <a href=""/wh40k9ed/the-rules/core-rules/#Performing-Actions"">perform this action</a> at the end of your <a href=""/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a>. Each unit from your army that starts to perform this action must be in range of a different <a href=""/wh40k9ed/the-rules/core-rules/#Objective-Markers"">objective marker</a> that does not have one of your banners raised upon it (see below). A unit cannot start this action while there are any enemy units (excluding <a href=""/wh40k9ed/the-rules/core-rules/#Aircraft""><span class=""kwb"">AIRCRAFT</span></a> units) in range of the same objective marker. The action is completed at the end of your turn. If this action is successfully completed"," that objective marker is said to have one of your army’s banners raised on it (the banner is ‘removed’ if your opponent controls the objective marker at the start of any phase).<br><br>Score 1 victory point at the end of each of your <a href=""/wh40k9ed/the-rules/core-rules/#COMMAND-PHASE"">Command phases</a>", and 1 victory point at the end of the battle, for each objective marker on the battlefield that has one of your banners raised upon it.|,,,,,,,,,,,,,,,,,,,,
