Obscure_encounters,Wilderness_hooks,General Story Hooks,City_plots,Npc_Traits,Encounters_b,Dungeon_dangers,Overhead_phrases,inn_encounters
"A farmer approaches the party and needs help. One of his chickens turns a strange neon green when placed in moonlight, and he needs help figuring out why.","The party is tasked to hunt down a pack of wild animals that has been attacking settlements. Upon investigating, it turns out this is the last of the specific animal species in the area/world. If the player's kill them, they are wiping out a species potentially needed for maintaining the Eco system, but letting them live runs the danger of them continuing to attack settlements.",Convince a loan shark to forgive a mans debt,An assassination plot is underway to take out the leader of the [City Guild]. It takes place in [1d10+2] days.,"They are horribly burnt all over their body and face, by fire or acid. It can be hard to look at them.",Prankster Goblins defacing a shrine. (bonus for making it a shrine respected by one of the PCs),There is a line of flammable liquid leading from one door into another.,"""And then the wolves came...""",The inn's pet cat is taking a nap on your bed.
Your party finds a list of 10 names including someone they are close to. The first 4 names are crossed out.,"A necromancer has been sending his undead to a nearby villages to raid supplies in an otherwise barren land and has been accused of grave robbing. When confronting the necromancer, the party finds out that he is only gathering supplies so he can find and restore his long dead family; spouse, children, pets. He only wants to see them one more time.",Helping a poor lad win a race so that he can win the heart of his crush.,The city's [Government Official] was just murdered by a political rival. This won't be discovered for [1d10+2] days.,"They have on their face and body the stigmata of terrible fights, broken features, scars from chin to brow, a missing nose or ear.","Traveling merchant and his bodyguards transporting goods. (a front for smuggling kidnapped people to be sold as slaves, perception check or passive to hear muffled moans)","The players are summoned to meet the lord, who is laying dead in their throne as soon as they arrive","""And that’s why it’s hard for me to buy pants.""","A hand-sized spider is on your pillow. Before you can take action, it scurries out of sight."
A courier catches up to the party. They have been left a run down mansion in the will of someone they have never met. The only condition? It be lived in for 5 days. It is of course… Haunted!,"A local cult have become very vocal that they are looking for new members to join them in spiritual bonding and meditation in a clearing near a waterfall. The townsfolk nearby think it’s fishy and are getting riled up, but it doesn’t appear that these cultists are doing anything wrong or magical at all... except openly admitting that they’re in a cult.","Babysit for a friendly fey power-couple whose magically-gifted children love playing games like ""the floor is made of lava,"" ""don't let the balloon touch the ground,"" and ""freeze tag.""","Goblins have been tunneling under the city walls for decades in preparation for a massive invasion. Nobody has noticed the sunken ground over their tunnels yet, but the invasion attempt is set to take place [3d20+10] days from now.","They are missing a limb, finger, arm, leg. And the cut is not pretty.","Crazed men and women about to burn a ""witch"" (Only burning her to appease a dark God).","A room is filled with dead bodies. Someone pretending to be dead crawls over, and tells the party some important advice in exchange for something from the room ahead.",“What do you mean it’s infected?”,"The last guest experimented with magic here: the whole room (and furniture) is under a Reverse Gravity spell. It wears off in the morning, maybe."
"A well known constellation disappears from sight. The village is divided between people who remember it, and those who don’t. The debates begin to spark an escalating series of feuds and fights.","The party is hired to retrieve a rare and valuable medicinal plant from a dangerous swamp which will be used to create a potion that can save a dying noble. When they find the plant, they discover that it is actually the last of its kind and uprooting it will force the plant's extinction.",Light all the sacred shrine lanterns along a deserted mountain trail.,"The largest brothel in the city is currently holding a ""the best lover in the land"" competition. It's the first one ever, and people are talking about it all around town.","They lost one of their senses, blind, deaf or mute.",A lost child (possessed by a powerful mage spirit that was awakened accidentally by the child) attacks the party and attempts to steal their souls.,"A sudden cloud of dust appears behind the party as the room they just came from collapses suddenly. Looking back, the party can't see what did it (Outside only).",“How far do you think I can throw this hammer?”,"There's a stranger sleeping in your bed. If roused, they will say they got into the wrong room."
A large river begins to inexplicably stop for 1 hour before sunset.,"A local priest asks you to stop the string of grave-robberies in the area because they could disturb the souls or even create angry ghosts. The culprits, however, are destitute farmers who claim that they need the corpses as fertilizer or else their crops will fail.",Investigate the site of a meteor crash in the deep woods.,"The city's annual combat tournament begins in [1d6+2] days.  Anyone may enter, but no weapons of any kind or spells are allowed.  It is held in a dirt floor arena behind the market square.","They have the mark of a terrible disease on their body, maybe it is still affecting them, or it is over. But in any case, it left marks on them.","Traveling noble and his band of thugs riding to the nearest farmstead to raze it for sport. (if stopped or questioned, they attack the party. The noble sits in his coach and watches for fun)","The party finds someone running in the opposite direction, screaming, covered in blood.",“I swear to gods it was just two goblins in a trench coat”,You hear footsteps in the corridor. It's a streaker that quickly gets into the last room of the corridor.
"You enter a clearing where 2 duelists lash out at one another. The clearing is in a time loop, repeating the duel over and over again.","A warlord is buying the contract of all the prostitutes and gambler from a life of respectable servitude. They seem to be bringing war into a new era of steel and fire, but, at the cost of the forest and druids.",Track down a cow that broke free from the herd and return it to the farmer (alive),"The city economy is tanking. This is evidenced by more than the usual number of vagrants, and and unhappy residents all around. A riot in the city center will take place in [1d4+2] days. Flyers for a ""demonstration"" can be seen all around.",They have shoulders as wide as they are tall and arms as big as a tree trunk. Even their neck is oversized. It's a miracle their outfit is not breaking under the pressure.,"A group of centaurs chasing and hunting down farmers in a ""coming of age ceremony"".","The entire room is filled with a still-moving cloud of soot, that's starting to settle on the floor. The players instinctively cover their mouths and noses to avoid choking, and they leave footprints in their steps that fill in within seconds.","""and that's the second time I got crabs.""",A candle left on the bedside table fell and it started a fire.
Rumor reaches your ears of a traveling merchant peddling sets of cursed sewing needles.,"A noble family is paying a lot of gold for someone to kidnap the child of their child's kidnapper, in hopes they can do a prisoner trade instead of having to fulfil the kidnappers demands.",convince someones child not to become a soldier/ adventurer.,"Every Friday in the city merchants slash their prices by 25%.  People who live in the city depend on this, and thus the only folks really shopping during the week are outsiders.","They have exceptionally long and narrow limbs, reminiscent of a huge spider.","A traveling wizard and his wagon transporting dangerous creatures (black pudding, gelatinous cube). His wagon topples and the creature is now loose.",A half-eaten body is thrown at a wall from an open door that slams shut. Only the lower torso and legs remain,"""And I said to him, that's no displacer beast, that's my wife!""",The room smells of: (roll d6): weed/incense/grease/dust/candle wax/smoke.
"Old Jeb the farmer claims his sheepdog had puppies, but they all have split tails and he doesn’t know their sire.","There is a powerful lich that needs to be stopped. Unlike other liches its soul is bound to its descendants. Investigation into its family tree reveals that most of its descendants are good people. So, long as one survives the lich cannot be truly defeated.",Convince someone's parents that they should allow their child to be a soldier or adventurer.,The King will die from apparent natural causes in [1d6+3] days. The actual cause will be the effects of long term poisoning by his wife.,"They are horribly overweight, barely able to walk on their own.",A group of dangerous criminals are being transported by a group of guards when one of the guards (disguised criminal) starts killing the other guards and let's the criminals loose.,"Someone is trying to run away from another room, but is tripped, and as they try to scramble away, they are pulled backwards. The door slams shut.","""That's not beer they're drinking.""",A former guest forgot a bag.
"The sawmill catches fire. The bucket brigade keeps it contained, but it refuses to extinguish after 2 days.","A former soldier approaches the player characters, asking for their help in protecting him from the wrath of his former comrades. He deserted his post during a battle, leaving his fellow soldiers to die. The players must decide whether to turn him in to face justice or to help him flee from his pursuers and keep his secret safe.",Take a lesson from a BARD and make a performance.,The circus comes to town in [1d6+2] days. It will show up unannounced outside the city walls.  The circus is going to use magic to pickpocket everyone who attends and then disappear into thin air.,"They have barely any skin over their bones, they could be taken away by the wind",A large group of traveling pilgrims surround the party as they chant and form a circle around them. Some of them draw weapons and attack the party and fight to the death. The pilgrims are in fact a death cult releasing the party from burden and suffering of life.,"A dead body hangs upside down from the ceiling. The wrists are bound above the head, slit marks cover their arms, neck and clothing. There isn't a drop of blood on the floor.","""...so I told myself, Mario, take it easy!""",A former guest left a plush doll.
"For exactly 1 round a day, everyone in town falls sway under the HOLD PERSON spell. Life continues, but everyone is on edge. “Protection” totems begin surfacing in every market shop.","You are hired by a ""holy"" organization to hunt down and kill a small family as they believe their tombs foresee this family to be some kind of threat to their cause. The family does not know about the prophecy or who this organization is, they live their lives like every other commoner.",Use your spells to aide in a Play or performance.,A building the players visit will burn to the ground in [1d3] days. [1d6+1] adjacent buildings will also perish in the towering inferno. Everyone burns to death unless the players intervene.,"They are somehow sinister, maybe it's their complexion, or the shape of their face or body, but they feel creepy.","The party notices quick changes in the weather. They spot a group of robed figures chanting on top of a hill nearby. If investigated, they find and recognize the symbol of a God of destruction. If left be, a massive hurricane destroys a nearby village.","The words ""RUN! DONT MAKE A NOI"" are written on the wall in blood","""No Jane I'm not going to your stupid baby's baptism to Tiamat""",Someone forgot a change of clothes here.
"Strange, mud-coated animate skeletons have risen in a nearby swamp. They won’t attack unless attacked first and try to speak with anyone nearby, but the coating of mud makes their speech indecipherable.","A noble-turned-bandit chief is in the dungeon, soon to be tried for killing a cousin of the king. The chieftain's wife has two respectable monks who witnessed the death and can testify to the chieftain's innocence. She wants you to get them safely to the court to clear his name; the bandits' second-in-command, happy with his new position over the bandits, will be opposing you. The problem is, the chieftain has murdered many commoners, murders he will never face justice for; this trial may the only semblance of justice his other victims ever get.",Look into strange happenings around town. (It's just restless kids/ teens playing pranks),"The confirmation of the city's new Ambassador happens in [1d4+1] days. It will draw huge crowds, and pickpockets.","They are broken. An old wound that healed improperly, or something they were born with. They have a limp, or have a hunched back.",A group of easily offended berserkers offer the party a spot at their campfire. They immediately take offense to the most innocuous things and start a fight. u/errboi,"A horse with it's reins shoddily cut comes bursting through, seemingly oblivious to the party. The horse will run them over if they don't move out of the way first, and if the party tries to stop the horse it will kick and struggle until it escapes","“I mean, legally, it’s a religion but they are just worshipping a lump of green stone! Got more followers than the Temple of Bahamut now and the priest is mighty unhappy to be losing devotees to a damn rock...”",Your window was left open. Now a pigeon has made its nest on the window frame.
Snowberry bushes only bloom before a blizzard. Collect five snowberry blooms for an alchemist before the storm hits.,"The Lord of Redfallow has been robbed of a family heirloom, it is quickly made clear that the culprits are band of goblins. Upon tracking down the goblins though, it is revealed that this supposed family heirloom was stolen from a nearby tomb, and the disturbed spirits within have been terrorizing the Goblins village until they find the ring. However, it's soon discovered that returning the ring may empower those dark spirits rather than silencing them.",Take some food/ supplies to the orphanage outside of town.,A blood red moon will take place in [1d3+1] days.,"They are incredibly boring in their looks, they look like any other person in the area.",A bard offers to write a song about the adventurers if they can solve his riddle. u/grogcore,A strong gust of wind blows a straw hat into the room. The hat is coated in blood and is completely tattered.,"""There's good money to be made in barley smuggling and that's the truth.""","The room smells rotten. Further investigation reveals a corpse hidden in the closet, mattress, etc."
"A suit of enchanted armor with dozens of arms has been razing nearby villages. Watch out, each arm holds a hand crossbow, and each one can attack every turn.","A newly chosen leader of a town's council is demanding the farmers there to not sell their crops to a nearby city. The councilman claims the good farmers have been underpaid for their labors, while the lord of the city has not claimed taxes from his citizens as a recent plague has left many unable to work. At his wit's end, he offers to hire the party to either convince the councilman of the dire need for food, or quietly get rid of him so the lord's men may negotiate payment the lord can actually afford.","Help gather food for the upcoming celebratory feast (fruit from the orchard, grain or vegetables from the fields, herbs and mushrooms from the forest, etc. Choose what makes most sense in your setting)",The Festival of [Noun] occurs in [1d20+2] days. The city is abuzz about it.,"They are old, but look like they barely get out of their teens. Be it artificial or natural, they don't have any of the signs of age that they should have. Be it their body or their visage, none has the mark of the passage of time.",Blood-Tusk Ogre(s) covered in blue face paint that originated from Icewind Dale or another icy cold climate. Uses a dual ranged javelin attack and two great club swings per turn. u/HWGA_Exandria,The floor clicks,"""So I says to her, that's BARLEY legal!""","The tip for room service from the previous guest is still here. It's 1d4 silver pieces and a note that says: ""Good luck with your studies!"""
A goblin comes running towards you and yells “he’s coming!” and dies.,"The High Priestess is gravely ill. She has forbidden an expedition to try to find medicine for her; it would be, she says, refusing the gift of death the gods have prepared for her. Her followers, terrified of going on without her guidance and protection, want you to go find medicine that they can give her in secret.",Harvest honey from a certain beehive with the sweetest honey. The bees there are notoriously ornery.,A monthly group of traders are arriving to the city. They bring with them strange and exotic wares from surrounding cities and lands.,"They are young, but look like they already saw all there was to see. Maybe it was something horrible that aged them early, or just the way they are. They are way taller than their age and already bear marks of old age.",A parasitic Dryad has hijacked the body of an Earth Elemental. The creature vomits up phosphorescent green blood that causes plants to explosively grow wherever it lands. Has a 30' ranged tendril strike equal to the Elemental's melee attack along with knowing the Vine Whip cantrip. Can cast Spike Growth & Plant Growth at the same time during combat since there are technically two of them.,"The air is incredibly hot for a second, until the heat leaves the room through the door the players came through","""So there I was, I had 1 foot on the latrine, I had 2 pieces of pie left, the dog was having a seizure.""",There is a family inside your room. They claim it's their room and it's impossible to convince them otherwise.
